"CIUDAD","ANIO","LOCALIDAD","0-PO-27","0-PO-29","0-PD-6","0-PD-7","0-PD-37","0-PD-4","0-PD-32","0-PD-27","0-PD-33","0-PD-34","1-SA-36","1-SA-37","1-SA-111","1-SA-183","1-SA-185","1-SA-186","1-SA-115","1-SA-104","1-SA-38","1-SA-39","1-SA-181","1-SA-182","1-ED-12","1-ED-160","1-ED-162","1-ED-163","1-ED-159","1-ED-173","1-ED-53","1-ED-52","1-ED-55","1-ED-54","1-ED-48","1-ED-124","1-ML-55","1-ML-51","1-ML-49","1-ML-41","1-ML-46","1-SC-319","1-SC-315","1-SC-317","1-SC-320","1-SC-353","1-SC-354","1-SC-358","1-SC-351","1-SC-352","1-SC-339","1-SC-161","1-SC-314","1-SC-355","1-SC-357","2-VI-1","2-VI-82","2-VI-159","2-VI-92","2-VI-89","2-VI-160","2-VI-93","2-VI-161","2-VI-94","2-VI-162","2-VI-95","2-MA-17","2-MA-16","2-MA-186","2-MA-31","2-MA-30","2-MA-191","2-MO-213","2-MO-274","2-MO-126","2-MO-127","2-MO-257","2-MO-258","2-MO-255","2-MO-101","2-MO-214","2-MO-216","2-MO-215","2-MO-209","2-MO-211","2-MO-210","2-EP-16","3-CD-45","3-CD-43","3-CD-44","3-CC-31","3-CC-12","3-CC-1","3-CC-20","3-CC-22","3-CC-21","3-CC-23","3-CC-30","3-CC-24","3-CC-29","3-CC-25","3-CC-26","3-CC-28","3-CC-27","3-CC-17","3-CC-18","3-CC-19","3-GP-49","3-GP-74","3-GP-87","3-GP-230","3-GP-38","3-GP-143","3-GP-209","3-GP-183","3-GP-182","4-EE-79","4-EE-83","4-EE-66"
"Cartagena  ",2005,"Total Cartagena",893033.0,0.9440000000000001,0.376,"0.046","0.046","0.046",0.046,0.046,0.046,0.046,nan,nan,nan,nan,nan,45.5,nan,nan,109.92642832509485,98.0587498576796,17.4,nan,nan,0.47,0.77,0.68,0.34,4.8,nan,nan,nan,nan,nan,nan,0.5529999999999999,0.467,0.6006,0.156,nan,0.19,nan,nan,nan,nan,25.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9962,0.9,0.452,0.7858,"0.88",0.81,0.88,1.0,0.72,nan,nan,nan,nan,nan,nan,0.43,nan,nan,nan,nan,9.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12,nan,0.11,0.14,nan,0.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.045,nan,nan
"Cartagena  ",2006,"Total Cartagena",902533.0,0.946,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.1,nan,nan,130.53404691414258,142.36227770375947,17.2,nan,nan,0.46,0.75,0.66,0.35,5.1,nan,nan,nan,nan,nan,nan,0.556,0.47100000000000003,0.5893,0.152,nan,0.13,0.37,0.21,nan,nan,30.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9990000000000001,0.8640000000000001,0.429,0.7881,"0.7826",1.0,0.8240000000000001,1.0,0.6237,nan,nan,nan,nan,nan,nan,0.3,nan,nan,nan,nan,10.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3,0.01,0.21,0.08,0.08,0.27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0551,nan,nan
"Cartagena  ",2007,"Total Cartagena",912498.0,0.9470000000000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.9,nan,nan,123.1729667812142,133.99042844120328,17.0,nan,nan,0.41,0.74,0.66,0.36,5.5,nan,nan,nan,nan,nan,nan,0.58,0.5,0.5973,0.13699999999999998,nan,0.12,0.39,0.16,nan,nan,23.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9991,0.84,0.41100000000000003,0.8197,"0.84",1.0,0.87,nan,0.66,nan,nan,nan,nan,nan,nan,0.49,nan,1.0610434214650335,1.1532080070312485,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.02,0.16,0.1,0.05,0.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.055999999999999994,nan,nan
"Cartagena  ",2008,"Total Cartagena",922859.0,0.9490000000000001,0.402,"0.069","0.069","0.069",0.069,0.069,0.069,0.069,nan,0.98,0.88,nan,nan,44.2,nan,nan,125.38839156800465,131.33428981348638,16.8,nan,nan,0.8001,1.018,0.8229,0.5135,5.1,nan,nan,nan,nan,0.054000000000000006,nan,0.528,0.465,0.5873,0.11900000000000001,nan,0.14,0.44,0.27,nan,nan,18.5,nan,nan,26.663884348299888,nan,nan,nan,nan,nan,nan,nan,0.9991,0.78,0.409,0.8271,"0.61",1.0,0.84,1.0,0.43,nan,nan,nan,nan,nan,nan,0.27699999999999997,nan,1.2403845007742245,1.2324742999743188,nan,8.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35,0.04,0.32,0.07,0.09,0.24,0.12,0.19,0.16,0.2,0.24,nan,nan,0.37,nan,nan,nan,nan,nan,nan,nan,nan,0.26,0.56,0.075,nan,nan
"Cartagena  ",2009,"Total Cartagena",933541.0,0.951,0.385,"0.069","0.069","0.069",0.069,0.069,0.069,0.069,nan,0.9807,0.69,nan,nan,71.09,nan,8.7,120.10733243889635,118.56381129013563,16.6,15.74,nan,0.5783,0.917,0.7135,0.4125,4.09,0.29,0.39,0.18,0.34,0.06,nan,0.563,0.489,nan,0.131,nan,0.1,0.36,0.22,nan,nan,26.0,nan,nan,37.66609298309661,nan,nan,nan,nan,nan,nan,nan,0.9991,0.71,0.43,0.86,"0.69",1.0,0.74,nan,0.54,nan,nan,nan,nan,nan,nan,0.295,nan,1.4313243874666461,1.502451418845021,nan,7.5,nan,nan,nan,nan,nan,nan,nan,nan,7.8,nan,nan,nan,0.03,nan,0.39,0.03,0.31,0.12,0.12,0.16,0.12,0.19,0.17,0.1,0.12,0.13,nan,0.38,nan,nan,nan,nan,nan,nan,nan,nan,0.27,0.23,0.0203,nan,nan
"Cartagena  ",2010,"Total Cartagena",944481.0,0.9520000000000001,0.342,"0.062","0.062","0.062",0.062,0.062,0.062,0.062,nan,0.9477,0.89,nan,nan,68.92,nan,8.8,109.10424121546312,119.96958352831072,16.4,13.05,nan,0.6617,0.9023,0.7066,0.4385,2.77,nan,nan,nan,nan,0.055,nan,0.564,0.499,nan,0.115,nan,0.13,0.23,0.28,nan,nan,25.0,nan,nan,32.92856235052166,nan,nan,nan,nan,nan,nan,nan,0.9991,0.79,0.401,0.8658,"0.77",1.0,0.76,nan,0.56,nan,nan,nan,nan,nan,nan,0.35,nan,1.6622886008294504,2.139587773602645,nan,5.6,nan,nan,nan,nan,nan,nan,nan,nan,7.01,nan,nan,nan,0.05,nan,0.28,0.04,0.23,0.14,0.11,0.23,0.14,0.14,0.15,0.21,0.22,0.19,nan,0.27,0.25,56.2,nan,nan,nan,nan,nan,nan,0.3,0.27,0.0323,nan,nan
"Cartagena  ",2011,"Total Cartagena",955709.0,0.9535800123259276,0.334,"0.047","0.0677228038422135","0.488",nan,nan,0.07255014363918284,0.08024375738630547,0.9545845021863351,0.9546,0.7576,329.284332364768,46.88965301656768,47.33,0.08721475461081588,9.2,100.6,110.0,11.045118266124831,13.25,"0.661876731301939",nan,0.943871836356025,0.7723742578311609,0.5066161000996571,2.87,nan,nan,nan,nan,0.032180152021027204,0.5812359179963518,0.5812359179963518,0.5207191898364445,0.5910293565922492,0.1041835976485779,0.20759245780042287,0.26,0.33,0.2497,nan,23.64736546375518,22.3,342.25899306169555,nan,41.915239347500304,nan,36.83129488160099,nan,3.6622026160682797,35.15714511425549,nan,0.20049200492004898,0.9991,0.8115,0.353,0.8785,"0.77",1.0,0.7332,nan,0.632,734.3792765371049,92.23041856453207,nan,0.9207823720400248,"Si",0.05290676592413025,0.255,0.011315048493065,1.8,2.6901494074033,nan,6.2,nan,nan,nan,nan,nan,nan,nan,nan,6.32,0.3634000000000001,0.955,nan,0.1033,nan,0.2334,0.0799,0.2288,0.1221,0.2251,0.1534,0.2082,0.1863,0.1631,0.1771,0.2583,0.2236,0.2647,0.3,0.3673,55.32308590782932,0.5253838734273459,380427.1705634246,0.4746161265726541,0.8572425310642335,865969.0,0.377,0.23,0.31,0.04174328,0.094,nan
"Cartagena  ",2012,"Total Cartagena",967103.0,0.9548248738758952,0.327,"0.059000000000000004","0.0314372437857542","0.482",nan,nan,0.029989734332478975,0.1315580689619133,1.0215044312756758,1.0215,0.9143,367.0756889390272,40.14250589593056,45.82,0.08836369110341713,8.7,109.3,112.1,14.049877063575694,14.55,"0.6816340701307719",nan,0.912851382815606,0.7857962932589799,0.48124109979187196,4.71,0.23,0.33,0.19,0.38,0.06436880039962893,0.5956854991663978,0.5956854991663978,0.5379071999655841,0.5727515122810791,0.09695628705209132,0.19090778183419874,0.1494,0.36,0.1901,nan,28.95244870505003,26.5,305.6551370433138,nan,57.50758701581174,nan,33.812324023397714,nan,2.48163846043286,34.01912722843379,0.7975,0.6694831990567889,0.9991,0.7911,0.349,0.8856,"0.7391",1.0,0.8128,0.9883,0.6641,713.3154483028177,95.73652954391295,nan,0.9181372959584794,"Si",0.02719365411676624,0.3136,0.059370075417963,2.03,3.6771677887463903,nan,7.0,nan,nan,nan,nan,nan,nan,nan,nan,6.3,0.4106,0.857,0.8792,0.1366,nan,0.1225,0.0184,0.1841,0.1271,0.1057,0.3903,0.2039,0.1679,0.1627,0.1882,0.1865,0.141,0.3266,0.2598,0.3808,68.89999999999999,0.5120016114716213,398173.0258845231,0.4879983885283787,0.7964725257413542,685031.0,0.28300000000000003,0.22,0.38,0.029804490000000006,0.108,nan
"Cartagena  ",2013,"Total Cartagena",978600.0,0.9559534028203556,0.292,"0.057999999999999996","0.062473333337602896","0.475",0.4959808259587021,0.10320796460176992,nan,nan,1.0046730022481096,1.0123,0.9081,324.23870835888,41.85851820845542,36.95,0.08188572624529092,8.2,106.67,109.67,11.354123064043534,13.43,"0.6710150835711374",nan,0.914381141280806,0.7900434979485981,0.47679176263378903,5.58,0.24,0.34,0.18,0.33,0.06259193880553104,0.5980737624690297,0.5980737624690297,0.5387307689098373,0.5553736296059675,0.09922900232571152,0.19730561154131748,0.157,0.4,0.1887,0.060673256068381615,28.101369303086038,27.0,292.56080114449213,66.53997755685502,62.02879263774621,3.2892492049843725,26.9773145309626,0.005201400525040856,1.5328019619865112,17.678315961577766,0.7513,0.5260230433055221,0.9991,0.8316,0.3393,0.9032,"0.7563",1.0,0.8563,0.9883,0.7465,827.1003535663193,97.36939827374304,1.0,0.999965937734178,"Si",0.045264786065688255,0.3191,0.0467204503163506,2.15,4.650725526262007,9.809932556713672,8.1,66.21704475781729,8.57,0.0520833333333333,0.135416666666667,0.30208333333333304,0.029320987654321,0.24845679012345695,0.149691358024691,6.08,0.465,0.7459,0.8391,0.1636,0.3942,0.2306,0.0653,0.1316,0.0666,0.0607,0.3668,0.1309,0.1136,0.1086,0.1266,0.1336,0.1057,0.2224,0.2176,0.2214,73.98615005269781,0.4180784531425405,468235.04449213156,0.5819215468574596,0.8408484475232962,965366.0,0.1852,0.18,0.51,0.01565323,0.124,18.0
"Cartagena  ",2014,"Total Cartagena",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
